text,label
can i make a reservation for redrobin,0
is it possible to make a reservation at redrobin,0
does redrobin take reservations,0
are reservations taken at redrobin,0
does redrobin do reservations,0
can acero take reservation,0
can you make reservations at hodak's,0
tell me if per se in nyc takes reservations,0
tell me if the cheshire takes reservations,0
will qdoba take reservations,0
does burger king accept reservations,0
does gramercy tavern in new york accept reservations,0
does acero in maplewood allow reservations,0
does cielo take reservations,0
find out if la tour d'argent in paris takes reservations,0
does tony's in downton let you make reservations,0
does gramercy tavern accept reservations,0
does mcdonalds take reservations,0
can you make reservations at steak 'n' shake,0
will nobu take reservations,0
do they take reservations at carrabbas,0
do they take reservations at applebees,0
do they take reservations at olive garden,0
do they take reservations at buffalo wild wings,0
do they take reservations at outback steakhouse,0
i need to know if angelos takes reservations,0
does applebees in trenton do reservations,0
does luigi's take reservations,0
please find out if napolis takes lunch reservations,0
does hannahs in galloway take reservations,0
does stanleys take brunch reservations,0
tell me if luigis in brick takes reservations,0
i need to know if capones does reservations in trenton,0
does marios in brooklyn take reservations,0
do you know if bottlenecks takes dinner reservations,0
do you know if whether or not zeus does reservations,0
can you let me if zeus accepts reservations,0
i need to find out do you know if zeus does reservations,0
please tell me does zeus do reservations,0
can you tell me if zeus does reservations,0
can i get a reservation at melting pot tomorrow,0
what locations of applebee's take reservations,0
can i get a reservation at champs,0
where can i find jimmy john's reservations,0
how many culver's take reservations,0
is there evening reservations available in the eve,0
do you know if bahama breeze does reservations,0
do you know if ruth chris does reservations,0
do you know if cheese cake factory does reservations,0
do you know if benihana does reservations,0
do you know if olive garden does reservations,0
does the steakhouse on main st take reservations,0
does sidetracks take reservations,0
are reservations allowed at burger king,0
does black rock take reservations,0
can i make reservations at applebee's or no,0
does buffalo wild wings do reservations,0
does minnies cafe in modesto take reservations,0
does bjs take reservations,0
will they take reservations at chillis,0
does pho king in ceres take reservations,0
can applebees take any reservations,0
does arbys in lakewood take reservations,0
does minnis take reservations,0
do they take reservations at bjs,0
does buffalo wild wings take reservations,0
does buffalo wild wings in concord take reservations,0
will they take reservations at torris,0
does black bear diner in tracy take reservations,0
does chillis take reservations,0
do they take reservations at bar tartine,0
do they take reservations at mcdonalds,0
do they take reservations at the progress,0
does tartine in san francisco take reservations,0
does cowgirl creamery in san francisco take reservations,0
do they take reservations at state bird,0
does nopa in san francisco take reservations,0
does bar tartine in san francisco take reservations,0
do they take reservations at arby's,0
does pizzeria delfina in san francisco take reservations,0
does iron skillet at the truck stop trake reservations,0
does the zen garden in la take reservations,0
does moes in la except rerservations,0
does ruby tuesday accept reservations,0
can i make a reservation at chevy's,0
is it possible to make reservations in advance for macaroni grill,0
is it possible to make reservations with famous dave's restaurant,0
is it possible to make reservations at chili's,0
does chili's take reservations,0
can you tell me if ruby tuesday does reservations,0
does olive garden take reservations,0
do you know whether ihop does reservations,0
does michael's accept reservations,0
do they accept reservations at michael's,0
can you make a reservation at michael's,0
can i make a reservation at michael's,0
does the restaurant michael's take reservations,0
do they take reservations at mendy's,0
do you know if outback allows reservations,0
do they take reservations at red robin,0
why is there a hold on my american saving bank account,1
i am nost sure why my account is blocked,1
why is there a hold on my capital one checking account,1
i think my account is blocked but i do not know the reason,1
can you tell me why is my bank account frozen,1
why is there a hold on my edward jones account,1
why am i locked out of my bank account,1
why in the world am i locked out of my bank account,1
what is the reason for frozen status on my bank account,1
check for why is my bank account frozen,1
i don't know the reason my account is blocked,1
find out for me why is my bank account frozen,1
can you find out why is my bank account frozen,1
why is there a hold on my discover account,1
tell me why am i locked out of my bank account,1
what is the reason i am locked out of my bank account,1
why is my account blocked,1
find out the reason why am i locked out of my bank account,1
i think my account is block but i am not sure why,1
why is there a hold on my charles swab account,1
my chase account has a hold why,1
what's the reason for a hold on my wells fargo account,1
can you find the reason for the block on my account,1
"there's a hold on my chase account, but why",1
tell me the reason there is a hold or block on my account,1
why does my credit union account have a hold on it,1
figure out why there is a block on my account please,1
why am i seeing a hold on my boa account,1
"my account has been blocked, but i have no idea why",1
why is there a block on my account,1
can you please unlock my bank account,1
please let me into my bank account,1
why cannot i take any money out from my bank account,1
what was the reason my bank account was frozen,1
who froze my bank account,1
who can i talk to right away about the current freeze on my account,1
my checking account has a hold on it and i need to know why,1
why is my bank account stopping all transactions from going through,1
i need to know why my bank account is blocking all of activity,1
can you find out what triggered a hold on my bank account,1
can i talk to someone about why there is a hold on my checking account,1
what caused a freeze to be put on my bank account,1
"my account has a hold on it and i can't access my funds, why",1
is there a reason that my bank account has a freeze on it,1
what would cause my bank account to be frozen,1
do you know why i can't log into my bank account,1
why can't i get into my account,1
did i do something to get my bank account frozen,1
was my bank account frozen for a specific reason,1
why are the funds in my bank account frozen,1
what would cause me to be locked out of my bank account,1
why am i unable to access my bank account,1
why is my bank account frozen,1
why would i have been locked out of my own account,1
can you explain to me why my bank account might be frozen,1
i am very confused about why or how my bank would lock me out of my account,1
why would the bank have frozen my account,1
do you know why the bank put a hold on my joint checking account,1
